time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
3.011	1105.000	63057.1	0.630571	63057.1	4.5	1104.37	1100	-nan(ind)	1017.64	809.908	63057.1	2.21409e-11	-0.466236	0	0	0.0138889	0.986111	0.0987654	0.606481	0.114198	0.180556	1	0	0
3.0111	1105.000	63103.8	0.631038	63103.8	4.5	1104.37	1100	-nan(ind)	1017.65	809.904	63103.8	2.21413e-11	-0.0466813	0	0	0.0115741	0.988426	0.095679	0.606481	0.117284	0.180556	1	0	0
3.0112	1105.000	63298.7	0.632987	63298.7	4.5	1104.37	1100	-nan(ind)	1017.64	809.916	63298.7	2.21395e-11	-0.194951	0	0	0.025463	0.974537	0.0987654	0.603395	0.116512	0.181327	1	0	0
3.0113	1105.000	63143.6	0.631436	63143.6	4.5	1104.37	1100	-nan(ind)	1017.64	809.915	63143.6	2.21399e-11	0.155158	0	0	0.0208333	0.979167	0.0987654	0.603395	0.117284	0.180556	1	0	0
3.0114	1105.000	63053.1	0.630531	63053.1	4.5	1104.37	1100	-nan(ind)	1017.64	809.907	63053.1	2.2141e-11	0.0904518	0	0	0.0277778	0.972222	0.100309	0.603395	0.114969	0.181327	1	0	0
3.0115	1105.000	62913.4	0.629134	62913.4	4.5	1104.37	1100	-nan(ind)	1017.64	809.904	62913.4	2.21417e-11	0.139678	0	0	0.0138889	0.986111	0.101852	0.604938	0.112654	0.180556	1	0	0
3.0116	1105.000	63274.5	0.632745	63274.5	4.5	1104.37	1100	-nan(ind)	1017.64	809.915	63274.5	2.21396e-11	-0.361029	0	0	0.0208333	0.979167	0.101852	0.606481	0.109568	0.182099	1	0	0
3.0117	1105.000	62956.2	0.629562	62956.2	4.5	1104.37	1100	-nan(ind)	1017.64	809.904	62956.2	2.21416e-11	0.318314	0	0	0.0138889	0.986111	0.104938	0.603395	0.11034	0.181327	1	0	0
3.0118	1105.000	63075.2	0.630752	63075.2	4.5	1104.37	1100	-nan(ind)	1017.65	809.905	63075.2	2.21413e-11	-0.119028	0	0	0.0185185	0.981481	0.101852	0.604167	0.111883	0.182099	1	0	0
3.0119	1105.000	62849.9	0.628499	62849.9	4.5	1104.37	1100	-nan(ind)	1017.64	809.901	62849.9	2.21422e-11	0.22531	0	0	0.0231481	0.976852	0.095679	0.614198	0.109568	0.180556	1	0	0
